p_id;descriptions
18381; Bananer har en anelse syrlig, mild og sød smag med noter af pære, blomst og abrikos. De dufter friskt og mildt og har noter af bolsje, nellike og vanilje.Bananer er en populær spisefrugt, der kan nydes som mellemmåltid eller som en nem snack på rejsen. Brug økologiske, modne bananer i kager og servér dem som dessert med for eksempel is. Prøv en rugbrødsmad med bananer som et mellemmåltid eller som et sødmefuldt indslag sammen med lidt ahornsirup på skyr og yoghurt samt i smoothies.Opbevares køligt, men ikke i køleskab.
51061; Peberfrugter har en sød og syrlig smag med hints af stjernefrugt og citrus, og en sød og skarp duft med græsgrønne nuancer.Peberfrugter er gode på en ostemad, smørrebrød og i salater, men er også velegnede til tilberedning for eksempel grillet, flået, lagt i krydret olie og som grundingrediens i en pesto. Prøv dem også i en salsa eller som basisgrøntsag i en smagfuld gryderet.Den ideelle opbevaringstemperatur er 7-10 grader eller i køleskab. Tag peberfrugter ud en times tid før brug, da smag og duft derved træder tydeligere frem.
61090;Agurker smager mildt, sødt, en anelse syrligt med et strejf af citrus, vandmelon og græskarkerner. De har en mild, frisk og en anelse syrlig duft med hints af ærtebælg, nyslået græs og vandmelon. De giver en kølende følelse i munden.Økologiske agurker fra Salling ØKO er velegnede i salat, relish, sandwich og i stave som snack til dip. Prøv for eksempel en frisk agurkerelish med rødløg eller chili til fiskefrikadeller og i hjemmelavede burgere. Brug dem også som base for en grøn smoothie, agurkesuppe eller med græsk yoghurt og hvidløg i tzatziki.Holdbarheden forlænges ved kølig opbevaring.
72008; Bananer har en anelse syrlig, mild og sød smag med noter af pære, blomst og abrikos. De dufter friskt og mildt og har noter af bolsje, nellike og vanilje.Bananer er en populær spisefrugt, der kan nydes som mellemmåltid eller som en nem snack på rejsen. Brug økologiske, modne bananer i kager og servér dem som dessert med for eksempel is. Prøv en rugbrødsmad med bananer som et mellemmåltid eller som et sødmefuldt indslag sammen med lidt ahornsirup på skyr og yoghurt samt i smoothies.Opbevares køligt, men ikke i køleskab.
18323;Gulerødder har en sød, frugtig, mild og en anelse bitter smag med lette nuancer af citrus samt træ. Med skræl smager de let bittert med noter af gulerodstop og har en meget sød og moden duft.Gulerødder fra Salling er velegnede revne i rösti eller kartoffelpandekager med rodfrugter og æg. Prøv også en gulerodssalat med æbler, rosiner og citron eller en gulerodsjuice med ingefær, spidskål og appelsin.Opbevares bedst ved 2-6 grader.
40446; Røde, stenfrie druer har en sød og frisk smag, mens de tilsvarende dufter sødt, friskt og svagt med grønne noter.Røde druer er gode som snack eller til ostebordet, hvor smagen passer godt til milde oste. De er også velegnede i salater som for eksempel waldorfsalat eller i desserter som en druetærte med valnødder og appelsin toppet med flødeskum eller creme fraiche. Prøv også at juice dem sammen med gulerod, æble og ingefær, hvor skindets lidt bitre smag vil give karakter.Opbevares køligt, men smager mest nuanceret ved servering ved stuetemperatur.
18518;De ydre blade på iceberg salater smager mildt og sødt med noter af syre, banan og friske hasselnødder. De indre blade er søde og friske, dog med mere bitre og syrlige toner. Ved gennemskæring dufter iceberg salater skarpt af mælkebøttesaft og herefter friskt og stikkende med hints af mælkebøtte og hyldeblade.Iceberg salater spises oftest rå og er velegnede som baser til enhver grøn salat eller som det sprøde element i sandwich. Brug dem også til rejecocktail eller sammen med laks for eksempel på franskbrød med gravad laks, asparges eller dampet med kapers. De store blade kan også bruges som indpakning til grøntsags- og kødfyld.Holdbarheden forlænges ved opbevaring på køl.
50998; Pærer har en sød, let syrlig og frisk smag med noter af frugt. De dufter tilsvarende sødt, friskt og grønt.Pærer er gode at spise, som de er, men de er også velegnede til salater, bagværk og desserter. Prøv dem for eksempel i en asiatisk inspireret salat med spidskål, mynte, citronsaft og fennikel eller i pæremuffins med kanel. Prøv dem også i en pæretærte med creme fraiche eller som modspil til en fyldig chokoladeis.Holdbarheden forlænges ved opbevaring på køl.
116664; Cherry blommetomater er små, røde og aflange tomater, som smager sødt, modent og friskt. Tomaterne dufter syrligt, friskt og intenst.De små, søde og velsmagende cherry blommetomater er velegnede som snacks. Det tynde skind gør, at de er velegnede til at tilberede med skind og er nemme at blende. Prøv dem for eksempel i tomatchutney, i en cremet tomatsuppe eller i en kold gazpacho.Tomater bør ikke opbevares på køl, men ved stuetemperatur, hvor smagen bedst bevares.
41701; Grønne, stenfrie druer har en sød og syrlig smag og dufter friskt og grønt.De er fine som snack, men er også velegnede som tilbehør til milde oste, hvor den friske syrlighed giver et godt modspil til ostens fedme. Prøv også at bruge dem i desserter som for eksempel i frugtsalat med flødeskum eller i druetærte med mandler.De grønne druer er også velegnede i det salte køkken som ingrediens i en flødesovs til svinekød eller fjerkræ. Kog op med lidt bouillon, tilsæt fløde og de grønne druer og lad det koge igennem. Druernes sødme og smag giver en god kontrast til det ikke for kraftige kød.Opbevares køligt, men smager mest nuanceret ved servering ved stuetemperatur.
