product_id;neighbor_products_id
18381;[18379, 18364, 50998, 51061, 53365, 84121, 19721, 116664, 29439, 41701]
51061;[18364, 53365, 116664, 18381, 29439, 61090, 18359, 18323, 72008, 18518]
61090;[72008, 19687, 37982, 39411, 51061, 41388, 116664, 19676, 73358, 69482]
72008;[61090, 19687, 53365, 39411, 18364, 29439, 40446, 37982, 84669, 19676]
18323;[18364, 51061, 29439, 18381, 53365, 85465, 84121, 84122, 18330, 41688]
40446;[18364, 18381, 61090, 51061, 18323, 72008, 83545, 29439, 84121, 53366]
18518;[18364, 116664, 29439, 51061, 53365, 40626, 79706, 18381, 41685, 84122]
50998;[18379, 18381, 18364, 40810, 26413, 41701, 116664, 18330, 18323, 84121]
116664;[18364, 51061, 53365, 29439, 61090, 18518, 41701, 18379, 41685, 18381]
41701;[18364, 29439, 18381, 53365, 116664, 72008, 19687, 61090, 51061, 18379]
18379;[50998, 18381, 18364, 51061, 40810, 116664, 41701, 18323, 53365, 84121]
51138;[18364, 29439, 51061, 18518, 18323, 18305, 84121, 19643, 53365, 84120]
18359;[51061, 18364, 41800, 29439, 63753, 18330, 116664, 69482, 53365, 41701]
63753;[119482, 72008, 51061, 39411, 37982, 19687, 124076, 116664, 82376, 18309]
37982;[61090, 72008, 39411, 19687, 37985, 105432, 53366, 40189, 41388, 119482]
41800;[18364, 18359, 51061, 18330, 29439, 18381, 19643, 53365, 63753, 18323]
69482;[116664, 51061, 18364, 61090, 18359, 18518, 18381, 41685, 72008, 18330]
18330;[18364, 116664, 18381, 18359, 41800, 108461, 18323, 51061, 40779, 29439]
41688;[18364, 29439, 116664, 18323, 18518, 84121, 53365, 19721, 41701, 72008]
39150;[61090, 72008, 53366, 19687, 39411, 82376, 18309, 119482, 37982, 40541]
18305;[29439, 53365, 18364, 51138, 18323, 70828, 84121, 41685, 40626, 51061]
40810;[50998, 18379, 18381, 26413, 18364, 41701, 51061, 29439, 18323, 61090]
